,index,"Population, total",Population growth (annual %),Urban population (% of total),Urban population,Urban population growth (annual %),Rural population (% of total population),Rural population,Rural population growth (annual %),GDP (current US$),GDP growth (annual %),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions (kg per 2010 US$ of GDP),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
342,1989-06-01,5146334482.911307,1.73788271179582,42.6660286761518,2195736546.2496266,2.5907433045076003,57.3339713238482,2950597936.661681,2975122557.0,19612078197056.797,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40394973.51305363
343,1989-07-01,5153612898.208161,1.73788271179582,42.6660286761518,2198841957.007352,2.5907433045076003,57.3339713238482,2954770941.2008095,2975122557.0,19659797107472.137,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40402034.259760596
344,1989-08-01,5161146254.237412,1.73788271179582,42.6660286761518,2202056140.851069,2.5907433045076003,57.3339713238482,2959090113.386344,2975122557.0,19716717171904.848,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40412565.08581651
345,1989-09-01,5168694721.719011,1.73788271179582,42.6660286761518,2205276772.1513777,2.5907433045076003,57.3339713238482,2963417949.5676336,2975122557.0,19785671928813.816,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40427224.44361469
346,1989-10-01,5176016537.23281,1.73788271179582,42.6660286761518,2208400700.05811,2.5907433045076003,57.3339713238482,2967615837.1747003,2975122557.0,19867954576205.7,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40446142.36785411
347,1989-11-01,5183602362.643139,1.73788271179582,42.6660286761518,2211637270.5030036,2.5907433045076003,57.3339713238482,2971965092.140136,2975122557.0,19973280684769.52,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40471407.27487932
348,1989-12-01,5190965222.0,1.73788271179582,42.6660286761518,2214778710.187587,2.5907433045076003,57.3339713238482,2976186511.812413,2975122557.0,20098904133250.0,1.90471287034329,236695.07499999998,535828.3333333334,3009082.637683142,398909.22934981,725930.6265833332,750247.4203333333,300082.8333333333,1835782.0963333333,0.35364946938057745,0.04977944287829017,0.20846259354359334,122.94737875674167,158.10822768937246,40502181.0060355
349,1990-01-01,5198597400.734575,1.74100291824301,43.0311324284079,2237015331.929866,2.61151915022835,56.9688675715921,2961582068.8047094,3007640922.0,20255969302170.508,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40540731.85679429
350,1990-02-01,5206250899.130046,1.74100291824301,43.0311324284079,2240308718.959827,2.61151915022835,56.9688675715921,2965942180.170219,3007640922.0,20437756000077.348,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40583942.964360766
351,1990-03-01,5213178679.363151,1.74100291824301,43.0311324284079,2243289821.2462835,2.61151915022835,56.9688675715921,2969888858.116867,3007640922.0,20619524812258.914,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40624637.997743376
